timestamp,label_values_0_label,label_values_1_label,label_values_2_label,label_values_2_value,label_values_3_label,label_values_3_value,label_values_4_label,label_values_4_value,label_values_5_label,label_values_5_value,label_values_6_label,label_values_6_value,label_values_7_label,label_values_7_value,label_values_8_label,label_values_8_value,label_values_9_label,label_values_10_label,label_values_10_value,label_values_11_label,label_values_11_value,label_values_12_label,label_values_12_value,label_values_13_label,label_values_13_timestamp_value,fbid,unique_id,timestamp_year,timestamp_month,timestamp_day,timestamp_weekday,timestamp_hour,label_values_13_timestamp_value_year,label_values_13_timestamp_value_month,label_values_13_timestamp_value_day,label_values_13_timestamp_value_weekday,label_values_13_timestamp_value_hour
1970-01-01 00:00:01.724847047+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724847493+00:00,17968075814785945,465bc76ca24e2b2894874319748138a4,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724844949+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724857478+00:00,17968071068785945,e33b798456c31a0fed1a198ec781fea5,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724843416+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724844381+00:00,17968068212785945,3c8376fc641603925348969bff5ab8b8,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724842462+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,True,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.736487171+00:00,17968066988785945,d56d798e82a6546d24d5a9a5805aa377,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724833739+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724835108+00:00,17968053731785945,4b30a49a68641fa9aca331cd37d0e035,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724825451+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724826010+00:00,17968041962785945,95a76da11aa2a5c86e1f938ce8fe0856,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724824682+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724824726+00:00,17968041095785945,5c02dc2bdc72d6e2278cf09392133c90,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724824666+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724832602+00:00,17968041065785945,faf6a90eeaeaa25d5ba82aae365ead0c,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724816968+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724823985+00:00,17968030094785945,e1f455be71ffd1a2b3f4db6603947c4b,1970,1,1,3,0,1970,1,1,3,0
1970-01-01 00:00:01.724814901+00:00,Folder,Subfolder,Is chat with a brand?,False,Is chat with a verified account?,False,Is chat with a creator?,False,Is chat with a subscriber?,False,Is chat with a follower?,False,Is chat unanswered?,False,Is chat unread?,False,Labels,Has creator AI replied?,False,Is last message a story reply?,False,Is there at least one unread message?,False,Update time,1970-01-01 00:00:01.724821441+00:00,17968026599785945,acb340154d3fa06023f1b00b484966a5,1970,1,1,3,0,1970,1,1,3,0
